"tag","patterns","responses__001","context_set","responses__002","responses__003","responses__004"
"infrastructures","Parlez-moi des infrastructures de l'ESGIS","L'ESGIS dispose d'infrastructures modernes et conviviales. Nous mettons à la disposition de nos étudiants du matériel didactique de pointe, y compris des ordinateurs, des routeurs de dernière génération, des serveurs dernière génération, des switchs, des oscilloscopes numériques à larges bandes passantes, des générateurs de fonctions, des alimentations stabilisées, des composants électroniques tels que des diodes et des transistors, et bien plus encore.","","","",""
"","Quelles sont les installations disponibles ?","","","","",""
"","Infrastructures de l'ESGIS","","","","",""
"","Équipements de l'ESGIS","","","","",""
"","Installations modernes","","","","",""
"corps_enseignant","Parlez-moi du corps enseignant de l'ESGIS","L'ESGIS bénéficie d'un corps enseignant de qualité qui allie l'expérience à la compétence. Nos enseignants sont hautement qualifiés dans leurs domaines respectifs, et ils sont dévoués à fournir une éducation exceptionnelle à nos étudiants.","","","",""
"","Qualifications des enseignants","","","","",""
"","Enseignants de l'ESGIS","","","","",""
"","Qui enseigne à l'ESGIS ?","","","","",""
"salutation","Salut","Bonjour ! Comment puis-je vous aider aujourd'hui ?","","","",""
"","Bonjour","","","","",""
"","Salutations","","","","",""
"","Coucou","","","","",""
"présentation","Présentez l'ESGIS","L'École Supérieure de Gestion et d'Informatique de Sousse (ESGIS) est une institution d'enseignement supérieur privée agréée, sous l'égide du Ministère de l'Enseignement Supérieur et de la Recherche du Togo, du Bénin et du Gabon. Elle opère dans plusieurs pays d'Afrique et est accréditée par le Conseil Africain et Malgache de l'Enseignement Supérieur (CAMES) dans diverses filières. L'ESGIS se distingue en tant qu'école de formation théorique et pratique de haut niveau. Sa mission principale est de former des cadres compétents, dynamiques, intègres et responsables dans des domaines clés tels que la gestion comptable et financière, la gestion commerciale, l'informatique, ainsi que les secteurs de technologies de pointe, notamment les télécommunications et l'électronique. L'ESGIS se démarque par ses résultats scolaires remarquables obtenus au cours de plus de vingt ans d'existence, avec un taux d'insertion professionnelle très élevé. Elle est reconnue comme l'une des meilleures écoles de la sous-région, mettant constamment l'accent sur l'excellence académique et la préparation des étudiants pour une carrière réussie.","","","",""
"","Qu'est-ce que l'ESGIS ?","","","","",""
"","Parlez-moi de l'ESGIS","","","","",""
"","L'ESGIS en quelques mots","","","","",""
"","Qui êtes-vous ?","","","","",""
"mission","Quelle est la mission de l'ESGIS ?","La mission principale de l'ESGIS est de former des cadres compétents, dynamiques, intègres et responsables dans des domaines clés tels que la gestion comptable et financière, la gestion commerciale, l'informatique, ainsi que les secteurs de technologies de pointe, notamment les télécommunications et l'électronique. Notre école vise à fournir une éducation de haute qualité qui prépare nos étudiants à réussir dans leurs futures carrières.","","","",""
"","Mission de l'ESGIS","","","","",""
"","Objectif de l'ESGIS","","","","",""
"","Que vise l'ESGIS ?","","","","",""
"infrastructures","Parlez-moi des infrastructures de l'ESGIS","L'ESGIS dispose d'infrastructures modernes et conviviales. Nous mettons à la disposition de nos étudiants du matériel didactique de pointe, y compris des ordinateurs, des routeurs de dernière génération, des serveurs dernière génération, des switchs, des oscilloscopes numériques à larges bandes passantes, des générateurs de fonctions, des alimentations stabilisées, des composants électroniques tels que des diodes et des transistors, et bien plus encore.","","","",""
"","Quelles sont les installations disponibles ?","","","","",""
"","Infrastructures de l'ESGIS","","","","",""
"","Équipements de l'ESGIS","","","","",""
"","Installations modernes","","","","",""
"corps_enseignant","Parlez-moi du corps enseignant de l'ESGIS","L'ESGIS bénéficie d'un corps enseignant de qualité qui allie l'expérience à la compétence. Nos enseignants sont hautement qualifiés dans leurs domaines respectifs, et ils sont dévoués à fournir une éducation exceptionnelle à nos étudiants.","","","",""
"","Qualifications des enseignants","","","","",""
"","Enseignants de l'ESGIS","","","","",""
"","Qui enseigne à l'ESGIS ?","","","","",""
"programmes","Quels sont les programmes offerts par l'ESGIS ?","L'ESGIS propose une variété de programmes dans différents domaines. Voici quelques-unes de nos filières : Gestion comptable et financière, Gestion commerciale, Informatique de gestion, Télécommunications et réseaux, Électronique et systèmes embarqués. Chaque programme est conçu pour fournir aux étudiants les connaissances et les compétences nécessaires pour réussir dans leur domaine d'études choisi.","","","",""
"","Liste des filières","","","","",""
"","Programmes d'études","","","","",""
"admission","Quels sont les critères d'admission à l'ESGIS ?","Pour être admis à l'ESGIS, les étudiants doivent remplir certaines conditions. Cela peut inclure la réussite d'un examen d'entrée, la soumission d'un dossier de candidature complet, y compris les relevés de notes et les recommandations, ainsi que la participation à un entretien d'admission. Les critères d'admission peuvent varier en fonction du programme et du niveau d'études souhaité. Il est recommandé de contacter l'ESGIS directement pour obtenir des informations précises sur le processus d'admission.","","","",""
"","Processus d'admission","","","","",""
"","Comment rejoindre l'ESGIS ?","","","","",""
"financement","Y a-t-il des options de financement disponibles ?","L'ESGIS offre des options de financement et des aides financières pour les étudiants qui en ont besoin. Cela peut inclure des bourses d'études, des prêts étudiants ou d'autres formes d'assistance financière. Les détails spécifiques sur les options de financement sont souvent disponibles auprès du service des admissions ou du bureau des affaires étudiantes de l'ESGIS. Il est recommandé de les contacter directement pour obtenir des informations précises sur les possibilités de financement.","","","",""
"","Aides financières","","","","",""
"","Bourses d'études","","","","",""
"","Coût des études","","","","",""
"contact","Comment puis-je contacter l'ESGIS ?","Vous pouvez contacter l'ESGIS aux coordonnées suivantes : Adresse : [adresse de l'école], Numéro de téléphone : [numéro de téléphone], Adresse e-mail : [adresse e-mail]. N'hésitez pas à les contacter pour toute demande d'information supplémentaire ou pour planifier une visite de l'établissement.","","","",""
"","Coordonnées de l'ESGIS","","","","",""
"","Adresse de l'ESGIS","","","","",""
"salutation","Salut","Bonjour !","","Content de te revoir !","Salut, comment puis-je t'aider ?",""
"","Comment ça va ?","","","","",""
"","Y a-t-il quelqu'un ici ?","","","","",""
"","Bonjour","","","","",""
"","ça va ?","","","","",""
"","Hey","","","","",""
"","Quoi de neuf ?","","","","",""
"","??? ??? ??","","","","",""
"au_revoir","À plus","Triste de te voir partir :(","","On se reparle plus tard","Au revoir !","Reviens bientôt"
"","On se voit","","","","",""
"","Au revoir","","","","",""
"","À plus tard","","","","",""
"","Au revoir","","","","",""
"","Je pars","","","","",""
"","Salut","","","","",""
"","Passe une bonne journée","","","","",""
"","On se reparle plus tard","","","","",""
"","Ttyl","","","","",""
"","Je dois y aller","","","","",""
"","Gtg","","","","",""
"créateur","Quel est le nom de tes développeurs ?","j'ai été créer par  KOI-SONN MANES MANA en 2023","","","",""
"","Quel est le nom de tes créateurs ?","","","","",""
"","Quel est le nom des développeurs ?","","","","",""
"","Quel est le nom des créateurs ?","","","","",""
"","Qui t'a créé ?","","","","",""
"","Tes développeurs","","","","",""
"","Tes créateurs","","","","",""
"","Qui sont tes développeurs ?","","","","",""
"","Développeurs","","","","",""
"","Tu es fait par","","","","",""
"","Tu es fait par qui ?","","","","",""
"","Qui t'a créé ?","","","","",""
"","Qui t'a créé ?","","","","",""
"","Créateurs","","","","",""
"","Qui t'a fait ?","","","","",""
"","Qui t'a conçu ?","","","","",""
"nom","Nom","Tu peux m'appeler Lecteur d'Esprit.","","Je suis Lecteur d'Esprit.","Je suis un Chatbot.","Je suis ton assistant"
"","Ton nom","","","","",""
"","As-tu un nom ?","","","","",""
"","Comment devrais-je t'appeler ?","","","","",""
"","Ton nom","","","","",""
"","Qui es-tu ?","","","","",""
"","Qui es-tu ?","","","","",""
"","Qui est-ce ?","","","","",""
"","À qui je parle ?","","","","",""
"","À qui je parle ?","","","","",""
"","Qui es-tu ?","","","","",""
"horaires","Horaire de l'université","L'université est ouverte de 8h à 21h30 du lundi au samedi !","","","",""
"","Quels sont les horaires de l'université ?","","","","",""
"","Jours de travail","","","","",""
"","Quand êtes-vous ouverts ?","","","","",""
"","Quels sont vos horaires ?","","","","",""
"","Heures d'ouverture","","","","",""
"","Quand l'université est-elle ouverte ?","","","","",""
"","Horaire de l'université","","","","",""
"","Qu'en est-il de l'horaire de l'université ?","","","","",""
"","L'université est-elle ouverte le samedi ?","","","","",""
"","Parle-moi de l'horaire de l'université","","","","",""
"","Quels sont les horaires de l'université ?","","","","",""
"","À quelle heure dois-je venir à l'université ?","","","","",""
"","Quand dois-je assister à l'université ?","","","","",""
"","Quel est mon horaire universitaire ?","","","","",""
"","Horaire de l'université","","","","",""
"","Horaire de l'université","","","","",""
"numéro","Plus d'informations","Vous pouvez nous contacter au : 92656873","","","",""
"","Coordonnées","","","","",""
"","Comment contacter l'université ?","","","","",""
"","Numéro de téléphone de l'université","","","","",""
"","Numéro de l'université","","","","",""
"","Quel est votre numéro de contact ?","","","","",""
"","Numéro de contact ?","","","","",""
"","Comment puis-je vous appeler ?","","","","",""
"","Numéro de téléphone de l'université ?","","","","",""
"","Comment puis-je vous contacter ?","","","","",""
"","Puis-je obtenir votre numéro de téléphone ?","","","","",""
"","Comment puis-je vous appeler ?","","","","",""
"","Numéro de téléphone","","","","",""
"","Numéro de téléphone","","","","",""
"","Appeler","","","","",""
"cours","Liste des cours","Notre université propose des formations en technologie de l'information, génie informatique, génie mécanique, génie chimique, génie civil et génie électrique.","","","",""
"","Liste des cours proposés","","","","",""
"","Liste des cours proposés à l'université","","","","",""
"","Quels sont les cours proposés dans votre université ?","","","","",""
"","Cours ?","","","","",""
"","Cours proposés","","","","",""
"","Cours proposés à l'université (nom de votre université)","","","","",""
"","Cours que vous proposez","","","","",""
"","Branches ?","","","","",""
"","Cours disponibles à l'UNI ?","","","","",""
"","Branches disponibles à votre université ?","","","","",""
"","Quels sont les cours à l'UNI ?","","","","",""
"","Quelles sont les branches à l'UNI ?","","","","",""
"","Quels sont les cours à l'UNI ?","","","","",""
"","Branches disponibles à l'UNI ?","","","","",""
"","Pouvez-vous me dire quels sont les cours disponibles à l'UNI ?","","","","",""
"","Pouvez-vous me dire quelles sont les branches disponibles à l'UNI ?","","","","",""
"","Génie informatique ?","","","","",""
"","Informatique","","","","",""
"","Génie informatique ?","","","","",""
"","IT","","","","",""
"","Technologie de l'information","","","","",""
"","AI/ML","","","","",""
"","Génie mécanique","","","","",""
"","Génie chimique","","","","",""
"","Génie civil","","","","",""
"frais","Informations sur les frais","Pour plus de détails sur les frais, visitez <a target=""_blank"" href=""LIEN"">ici</a>","","","",""
"","Informations sur les frais","","","","",""
"","Dites-moi les frais","","","","",""
"","Frais universitaires","","","","",""
"","Frais par semestre","","","","",""
"","Quels sont les frais de chaque semestre ?","","","","",""
"","Quels sont les frais de chaque année ?","","","","",""
"","Quels sont les frais ?","","","","",""
"","Quels sont les frais ?","","","","",""
"","Combien coûtent les frais ?","","","","",""
"","Frais de première année","","","","",""
"","Frais","","","","",""
"","À propos des frais","","","","",""
"","Dites-moi quelque chose sur les frais","","","","",""
"","Quels sont les frais de l'auberge ?","","","","",""
"","Combien coûtent les frais ?","","","","",""
"","Frais de l'auberge","","","","",""
"","Frais de la chambre AC","","","","",""
"","Frais de la chambre non-AC","","","","",""
"","Frais de la chambre AC pour les filles","","","","",""
"","Frais de la chambre non-AC pour les filles","","","","",""
"","Frais de la chambre AC pour les garçons","","","","",""
"","Frais de la chambre non-AC pour les garçons","","","","",""
"emplacement","Où est située l'université","<a target=""_blank"" href=""LIEN GOOGLE MAP"">ici</a>","","","",""
"","L'université est située à","","","","",""
"","Où est l'université","","","","",""
"","Où est située l'université","","","","",""
"","Adresse de l'université","","","","",""
"","Comment se rendre à l'université","","","","",""
"","Emplacement de l'université","","","","",""
"","Adresse de l'université","","","","",""
"","Où est l'université","","","","",""
"","Comment puis-je me rendre à l'université","","","","",""
"","Quelle est l'adresse de l'université","","","","",""
"","Adresse","","","","",""
"","Emplacement","","","","",""
"auberge","Installations de l'auberge","Pour plus de détails sur l'auberge, visitez <a target=""_blank"" href=""LIEN DE DÉTAIL DE L'AUBERGE OU TOUT LIEN D'INFORMATION OU AJOUTEZ VOS PROPRES RÉPONSES"">ici</a>","","","",""
"","Service d'auberge","","","","",""
"","Emplacement de l'auberge","","","","",""
"","Adresse de l'auberge","","","","",""
"","Installations de l'auberge","","","","",""
"","Frais d'auberge","","","","",""
"","L'université propose-t-elle une auberge ?","","","","",""
"","Y a-t-il une auberge ?","","","","",""
"","Où est l'auberge ?","","","","",""
"","Avez-vous une auberge ?","","","","",""
"","Avez-vous une auberge ?","","","","",""
"","Auberge","","","","",""
"","Capacité de l'auberge","","","","",""
"","Quels sont les frais de l'auberge ?","","","","",""
"","Comment entrer dans l'auberge","","","","",""
"","Quelle est l'adresse de l'auberge","","","","",""
"","À quelle distance se trouve l'auberge de l'université","","","","",""
"","Distance entre l'université et l'auberge","","","","",""
"","Distance entre l'auberge et l'université","","","","",""
"événement","Événements organisés","Pour plus de détails sur les événements, visitez <a target=""_blank"" href=""LIEN DE VOS FONCTIONS OU VOTRE PROPRE RÉPONSE"">ici</a>","","","",""
"","Liste des événements","","","","",""
"","Liste des événements organisés à l'université","","","","",""
"","Liste des événements organisés à l'université","","","","",""
"","Quels événements sont organisés à l'université","","","","",""
"","Y a-t-il des événements à l'université","","","","",""
"","Événements ?","","","","",""
"","Fonctions","","","","",""
"","Quels sont les événements","","","","",""
"","Parlez-moi des événements","","","","",""
"","Qu'en est-il des événements","","","","",""
"document","Document à apporter","Pour en savoir plus sur les documents requis, visitez <a target=""_blank"" href=""LIEN DU DOCUMENT D'ORIENTATION DE L'ADMISSION SUR LE SITE WEB DE VOTRE UNIVERSITÉ"">ici</a>","","","",""
"","Documents nécessaires pour l'admission","","","","",""
"","Documents nécessaires lors de l'admission","","","","",""
"","Documents nécessaires pendant l'admission","","","","",""
"","Documents requis pour l'admission","","","","",""
"","Documents requis lors de l'admission","","","","",""
"","Documents requis pendant l'admission","","","","",""
"","Quels documents sont requis pour l'admission","","","","",""
"","Quels documents apporter pour l'admission","","","","",""
"","Documents","","","","",""
"","Quels documents ai-je besoin","","","","",""
"","Quels documents ai-je besoin pour l'admission","","","","",""
"","Documents nécessaires","","","","",""
"étages","Taille du campus","Mon université a un total de 2 étages.","","","",""
"","Taille du bâtiment","","","","",""
"","Combien d'étages a l'université ?","","","","",""
"","Étages de l'université","","","","",""
"","Étages de l'université","","","","",""
"","Quelle est la hauteur du bâtiment de l'université de l'UNI","","","","",""
"","Étages","","","","",""
"programme","Programme pour IT","L'horaire est fourni directement aux étudiants OU pour en savoir plus sur le programme, visitez <a target=""_blank"" href=""LIEN DE L'HORAIRE"">ici</a>","","","",""
"","Quel est le programme de technologie de l'information ?","","","","",""
"","Programme","","","","",""
"","Emploi du temps","","","","",""
"","Quel est le programme IT","","","","",""
"","Programme","","","","",""
"","Quel est le prochain cours","","","","",""
"bibliothèque","Y a-t-il une bibliothèque","Il y a une grande bibliothèque spacieuse. Les horaires sont de 8h à 18h et pour plus d'informations, visitez <a target=""blank"" href=""AJOUTEZ UN LIEN DE DÉTAIL DE LA BIBLIOTHÈQUE"">ici</a>","","","",""
"","Installations de bibliothèque","","","","",""
"","Installations de bibliothèque","","","","",""
"","Avez-vous une bibliothèque","","","","",""
"","L'université dispose-t-elle d'installations de bibliothèque","","","","",""
"","Bibliothèque universitaire","","","","",""
"","Où puis-je trouver des livres","","","","",""
"","Installations de livres","","","","",""
"","Où est la bibliothèque","","","","",""
"","Bibliothèque","","","","",""
"","Informations sur la bibliothèque","","","","",""
"","Informations sur les livres de bibliothèque","","","","",""
"","Parlez-moi de la bibliothèque","","","","",""
"","Combien de bibliothèques","","","","",""
"infrastructure","Comment est l'infrastructure de l'université","Notre université dispose d'une excellente infrastructure. Le campus est propre. Bon laboratoire informatique avec une bonne connexion Internet.","","","",""
"","Infrastructure","","","","",""
"","Infrastructure universitaire","","","","",""
"cantine","Installations alimentaires","Notre université dispose d'une cantine avec une variété de plats disponibles.","","","",""
"","Installations de la cantine","","","","",""
"","Installation de la cantine","","","","",""
"","Y a-t-il une cantine","","","","",""
"","Y a-t-il une cafétéria à l'université","","","","",""
"","L'université dispose-t-elle d'une cantine","","","","",""
"","Où est la cantine","","","","",""
"","Où est la cafétéria","","","","",""
"","Cantine","","","","",""
"","Nourriture","","","","",""
"","Cafétéria","","","","",""
"menu","Menu alimentaire","Nous servons Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali et bien d'autres plats au menu.","","","",""
"","Nourriture à la cantine","","","","",""
"","Qu'y a-t-il au menu","","","","",""
"","Qu'est-ce qui est disponible à la cantine de l'université","","","","",""
"","Quels aliments pouvons-nous obtenir à la cantine de l'université","","","","",""
"","Variété alimentaire","","","","",""
"","Qu'y a-t-il à manger ?","","","","",""
"placement","Qu'est-ce que le placement à l'université","Pour en savoir plus sur le placement, visitez <a target=""_blank"" href=""LIEN D'INFORMATION SUR LE PLACEMENT SUR LE SITE WEB DE VOTRE UNIVERSITÉ SI DISPONIBLE"">ici</a>","","","",""
"","Quelles entreprises visitent l'université","","","","",""
"","Quel est le salaire moyen","","","","",""
"","Entreprises qui visitent","","","","",""
"","Paquet","","","","",""
"","À propos du placement","","","","",""
"","Placement","","","","",""
"","Recrutement","","","","",""
"","Entreprises","","","","",""
"ithod","Qui est le directeur de l'informatique","Tous les départements d'ingénierie n'ont qu'un seul directeur, XYZ, qui est disponible à (nom du lieu).","","","",""
"","Où est le directeur de l'informatique","","","","",""
"","ithod","","","","",""
"","Nom de l'ithod","","","","",""
"computerhod","Qui est le directeur de l'informatique","Tous les départements d'ingénierie n'ont qu'un seul directeur, XYZ, qui est disponible à (nom du lieu).","","","",""
"","Où est le directeur de l'informatique","","","","",""
"","ithod","","","","",""
"","Nom de l'ithod","","","","",""
"extchod","Qui est le directeur extc","Les directeurs varient d'une école à l'autre, veuillez donc être plus précis avec votre école ou votre département.","","","",""
"","Où est le directeur extc","","","","",""
"","directeur extc","","","","",""
"","nom du directeur extc","","","","",""
"principal","Quel est le nom du directeur","XYZ est le directeur de l'université et si vous avez besoin d'aide, appelez d'abord le responsable de votre branche. C'est plus approprié.","","","",""
"","Quel est le nom du directeur","","","","",""
"","Nom du directeur","","","","",""
"","Qui est le directeur de l'université","","","","",""
"","Où est le bureau du directeur","","","","",""
"","Directeur","","","","",""
"","Nom du directeur","","","","",""
"sem","Dates d'examen","Voici le calendrier académique <a target=""_blank"" href=""VOTRE CALENDRIER ACADÉMIQUE"">site web</a>","","","",""
"","Calendrier des examens","","","","",""
"","Quand est l'examen de semestre","","","","",""
"","Emploi du temps du semestre","","","","",""
"","sem","","","","",""
"","semestre","","","","",""
"","examen","","","","",""
"","quand est l'examen","","","","",""
"","calendrier des examens","","","","",""
"","dates d'examen","","","","",""
"","quand est le semestre","","","","",""
"admission","Quel est le processus d'admission","Pour plus d'informations sur le processus d'admission, visitez <a target=""_blank"" href=""LIEN DU PROCESSUS D'ADMISSION SUR LE SITE WEB DE VOTRE UNIVERSITÉ"">ici</a>","","","",""
"","Quel est le processus d'admission","","","","",""
"","Admission","","","","",""
"","Admissions ouvertes","","","","",""
"","Admissions","","","","",""
"","Comment puis-je être admis","","","","",""
"","Comment puis-je être admis à l'université","","","","",""
"","Procédure d'admission","","","","",""
"","Admission à l'université","","","","",""
"département","Départements de l'université","Notre université propose une gamme de départements académiques, notamment le génie informatique, le génie mécanique, le génie chimique, le génie civil, le génie électrique et bien d'autres. Vous pouvez en savoir plus sur nos départements sur le <a target=""_blank"" href=""LIEN VERS LES DÉPARTEMENTS DE L'UNIVERSITÉ"">site web</a> de l'université.","","","",""
"","Liste des départements","","","","",""
"","Liste des départements de l'université","","","","",""
"","Liste des départements académiques","","","","",""
"","Liste des départements de l'université","","","","",""
"","Départements académiques","","","","",""
"","Branches académiques","","","","",""
"","Quels sont les départements à l'université","","","","",""
"","Liste des départements","","","","",""
"","Départements académiques de l'université","","","","",""
"","Liste des branches académiques","","","","",""
"","Liste des départements","","","","",""
"","Quels départements académiques avez-vous","","","","",""
"remerciement","Merci","Vous êtes les bienvenus ! Si vous avez d'autres questions, n'hésitez pas à les poser.","","","",""
"","C'est utile","","","","",""
"","Merci pour votre aide","","","","",""
"","Vous êtes génial","","","","",""
"","Super","","","","",""
"","Bonne information","","","","",""
"","Je suis reconnaissant","","","","",""
"","Bon travail","","","","",""
"non_compréhension","Je ne comprends pas","Bien sûr ! N'hésitez pas à poser des questions spécifiques, et je ferai de mon mieux pour y répondre.","","","",""
"","Je ne sais pas","","","","",""
"","Peux-tu répéter ça ?","","","","",""
"","Pouvez-vous expliquer davantage ?","","","","",""
"","Je suis confus","","","","",""
"","Je ne suis pas sûr de comprendre","","","","",""
"","Je ne sais pas de quoi tu parles","","","","",""
"","Parlez-vous anglais ?","","","","",""
"aide","J'ai besoin d'aide","Bien sûr, je suis là pour vous aider ! Posez simplement votre question, et je ferai de mon mieux pour vous fournir les informations dont vous avez besoin.","","","",""
"","Pouvez-vous m'aider ?","","","","",""
"","Aidez-moi","","","","",""
"","Je suis perdu","","","","",""
"","Je ne sais pas quoi faire","","","","",""
"","Pouvez-vous me guider ?","","","","",""
"","Aide","","","","",""
"","Aidez-moi, s'il vous plaît","","","","",""
"","Besoin d'aide","","","","",""
